cid,mouse_vi,smiles
119,2748.0,NCCCC(=O)O
144,400.0,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
174,3000.0,OCCO
176,525.0,CC(=O)O
178,10000.0,CC(N)=O
187,11.0,CC(=O)OCC[N+](C)(C)C
190,30.0,Nc1ncnc2nc[nH]c12
196,680.0,O=C(O)CCCCC(=O)O
227,500.0,Nc1ccccc1C(=O)O
237,50.0,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
244,324.0,OCc1ccccc1
247,830.0,C[N+](C)(C)CC(=O)[O-]
263,377.0,CCCCO
264,800.0,CCCC(=O)O
284,145.0,O=CO
288,610.0,C[N+](C)(C)CC(O)CC(=O)[O-]
297,440.0,C
311,42.0,O=C(O)CC(O)(CC(=O)O)C(=O)O
338,184.0,O=C(O)c1ccccc1O
340,56.0,Cc1cccc(O)c1O
370,320.0,O=C(O)c1cc(O)c(O)c(O)c1
379,600.0,CCCCCCCC(=O)O
401,2814.0,NC1CONC1=O
460,170.0,COc1ccccc1O
487,100.0,CC(C(=O)O)C(=O)O
564,4900.0,NCCCCCC(=O)O
679,3100.0,CS(C)=O
681,59.0,NCCc1ccc(O)c(O)c1
702,1973.0,CCO
725,475.0,C[N+](C)(C)CCCC(=O)[O-]
750,2370.0,NCC(=O)O
753,4250.0,OCC(O)CO
768,0.99,C#N
772,500.0,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(CO)C(OC4OC(C(=O)O)C(O)C(O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C1O
774,385.0,NCCc1cnc[nH]1
778,770.0,NC(CCS)C(=O)O
784,50000.0,OO
795,475.0,c1c[nH]cn1
838,3.4,CNCC(O)c1ccc(O)c(O)c1
849,2200.0,O=C(O)C1CCCCN1
864,197.0,O=C(O)CCCCC1CCSS1
880,252.0,CC(=O)C=O
887,4710.0,CO
890,500.0,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O
896,180.0,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
913,85.0,CNCC(O)c1ccccc1
931,100.0,c1ccc2ccccc2c1
938,5000.0,O=C(O)c1cccnc1
951,4.7,NCC(O)c1ccc(O)c(O)c1
957,69.0,CCCCCCCCO
962,25000.0,O
967,770.0,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
985,57.0,CCCCCCCCCCCCCCCC(=O)O
991,13.0,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
995,56.0,c1ccc2c(c1)ccc1ccccc12
996,112.0,Oc1ccccc1
1001,100.0,NCCc1ccccc1
1015,639.0,NCCOP(=O)(O)O
1018,487.0,O=C(O)c1ccccn1
1030,6630.0,CC(O)CO
1031,697.0,CCCO
1032,625.0,CCC(=O)O
1048,374.0,c1cn[nH]c1
1049,420.0,c1ccncc1
1051,530.0,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
1053,500.0,Cc1ncc(COP(=O)(O)O)c(CN)c1O
