cid,mouse_vo,smiles
11,413.0,ClCCCl
13,300.0,Clc1ccc(Cl)c(Cl)c1
33,82.0,O=CCCl
34,81.0,OCCCl
66,946.0,Oc1cc(Cl)ccc1Cl
91,2000.0,O=C(O)CCc1cccc(O)c1
119,12680.0,NCCCC(=O)O
135,2200.0,O=C(O)c1ccc(O)cc1
144,6000.0,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
174,5500.0,OCCO
177,900.0,CC=O
178,12900.0,CC(N)=O
180,3000.0,CC(C)=O
190,783.0,Nc1ncnc2nc[nH]c12
196,1900.0,O=C(O)CCCCC(=O)O
227,1400.0,Nc1ccccc1C(=O)O
237,1320.0,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
240,28.0,O=Cc1ccccc1
241,4700.0,c1ccccc1
243,1940.0,O=C(O)c1ccccc1
244,1360.0,OCc1ccccc1
263,2680.0,CCCCO
284,700.0,O=CO
289,260.0,Oc1ccccc1O
297,10000.0,C
311,5040.0,O=C(O)CC(O)(CC(=O)O)C(=O)O
323,196.0,O=c1ccc2ccccc2o1
326,2400.0,CC(C)c1ccc(C=O)cc1
335,344.0,Cc1ccccc1O
338,480.0,O=C(O)c1ccccc1O
342,828.0,Cc1cccc(O)c1
359,4550.0,Oc1cc(O)cc(O)c1
385,4800.0,O=C(O)CCCCCC(=O)O
444,544.0,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
460,621.0,COc1ccccc1O
525,1600.0,O=C(O)CC(O)C(=O)O
564,14300.0,NCCCCCC(=O)O
612,4875.0,CC(O)C(=O)O
674,316.0,CNC
679,7920.0,CS(C)=O
700,700.0,NCCO
702,3450.0,CCO
712,42.0,C=O
713,3150.0,NC=O
727,44.0,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
743,6000.0,O=C(O)CCCC(=O)O
750,4920.0,NCC(=O)O
753,4090.0,OCC(O)CO
768,3.7,C#N
774,220.0,NCCc1cnc[nH]1
784,2000.0,OO
785,245.0,Oc1ccc(O)cc1
795,880.0,c1c[nH]cn1
807,22000.0,II
863,620.0,NC(=O)CCCCC1CCSS1
864,502.0,O=C(O)CCCCC1CCSS1
867,4000.0,O=C(O)CC(=O)O
887,7300.0,CO
892,10000.0,OC1C(O)C(O)C(O)C(O)C1O
896,1250.0,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
904,1210.0,CC(=O)Nc1ccccc1
931,316.0,c1ccc2ccccc2c1
936,2500.0,NC(=O)c1cccnc1
938,3720.0,O=C(O)c1cccnc1
957,1790.0,CCCCCCCCO
967,2000.0,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
974,21762.0,NC(=O)C(=O)O
978,2850.0,Nc1ccc(C(=O)O)cc1
980,282.0,O=[N+]([O-])c1ccc(O)cc1
991,5.0,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
992,36.0,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
995,700.0,c1ccc2c(c1)ccc1ccccc12
996,270.0,Oc1ccccc1
998,3890.0,O=CCc1ccccc1
999,2250.0,O=C(O)Cc1ccccc1
1017,2530.0,O=C(O)c1ccccc1C(=O)O
1030,22000.0,CC(O)CO
1031,6800.0,CCCO
1048,409.0,c1cn[nH]c1
1049,1500.0,c1ccncc1
1050,1120.0,Cc1ncc(CO)c(C=O)c1O
1051,4640.0,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
1053,5800.0,Cc1ncc(COP(=O)(O)O)c(CN)c1O
1055,7800.0,Cc1ncc(COP(=O)(O)O)c(CO)c1O
1057,300.0,Oc1cccc(O)c1O
1068,3700.0,CSC
1080,11500.0,NC(CSCC(=O)O)C(=O)O
1123,7000.0,NCCS(=O)(=O)O
1133,242.0,O=C(O)CS
1135,3500.0,Cc1c[nH]c(=O)[nH]c1=O
1174,8000.0,O=c1cc[nH]c(=O)[nH]1
1176,11000.0,NC(N)=O
1183,3925.0,COc1cc(C=O)ccc1O
1206,34.0,CNC(C)Cc1ccccc1
1233,38.0,NC(C(=O)O)c1cc(=O)[nH]o1
1238,78.0,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1
1322,36.0,CNNC
1345,200.0,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1
1370,350.0,O=C(c1ccc2c(c1)OCO2)N1CCCCC1
1390,1400.0,Cn1ccnc1
1474,330.0,c1ccc(-c2ccccn2)nc1
1480,242.0,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
1486,347.0,O=C(O)COc1ccc(Cl)cc1Cl
1493,45.0,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
1567,190.0,OCCS
1570,535.0,On1ccccc1=S
1614,13.3,CC(N)Cc1ccc2c(c1)OCO2
1639,14700.0,Nc1ncn[nH]1
1662,7330.0,CC(O)(CC(=O)O)CC(=O)O
1676,254.0,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21
1678,68.1,O=C(O)CC[N+](=O)[O-]
1727,19.0,Nc1ccncc1
1732,600.0,Cc1cc(O)ccc1Cl
1775,150.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
1807,590.0,O=[N+]([O-])C1(Br)COCOC1
1882,374.0,Cn1c(=O)c2c(ncn2CCCl)n(C)c1=O
1892,400.0,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O
1923,20000.0,Oc1cccc2cccnc12
1935,39.8,Nc1c2c(nc3ccccc13)CCCC2
1979,165.0,CC(=O)OC1CN2CCC1CC2
1981,18.42,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
1982,233.0,COP(=O)(NC(C)=O)SC
1983,338.0,CC(=O)Nc1ccc(O)cc1
1985,4.0,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
1986,4300.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1
1988,1550.0,CCOCN(C(=O)CCl)c1c(C)cccc1CC
1989,2500.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
1999,1175.0,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1
2018,14700.0,CC(=O)Nc1ccc(CC(=O)O)cc1
2031,600.0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
2040,397.0,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O
2078,462.0,CCc1cccc(CC)c1N(COC)C(=O)CCl
2082,1500.0,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
2083,2707.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
2086,0.3,CNC(=O)ON=CC(C)(C)SC
2097,1520.0,C=C(C)CNc1ccc(C(C)C(=O)O)cc1
2118,770.0,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
2123,437.0,CN(C)c1nc(N(C)C)nc(N(C)C)n1
2124,103.0,F[Al](F)F
2130,700.0,NC12CC3CC(CC(C3)C1)C2
2132,2720.0,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1
2141,842.0,NCCCNCCSP(=O)(O)O
2151,800.0,Cc1c(N)c(=O)n(-c2ccccc2)n1C
2153,235.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O
2157,4000.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
2159,1024.0,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
2160,99.0,CN(C)CCC=C1c2ccccc2CCc2ccccc21
2161,2320.0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
2164,345.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2165,550.0,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
2170,104.0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
2176,2291.0,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21
2179,53.42,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
2194,1480.0,COc1ccc(-c2cc(=S)ss2)cc1
2196,3648.0,COc1ccc(C(=O)N2CCCC2=O)cc1
2197,300.0,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
2200,398.0,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
2202,1542.0,O=C1c2c(O)cccc2Cc2cccc(O)c21
2206,1310.0,Cc1cc(=O)n(-c2ccccc2)n1C
2214,9000.0,COc1cc(C(C)=O)ccc1O
2218,274.0,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1
2225,143.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-]
2230,550.0,COC(=O)C1=CCCN(C)C1
2236,55.9,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
2244,250.0,CC(=O)Oc1ccccc1C(=O)O
2247,2560.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
2249,2000.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
2256,850.0,CCNc1nc(Cl)nc(NC(C)C)n1
2265,2500.0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
2267,124.0,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
2268,8.6,COP(=S)(OC)SCn1nnc2ccccc2c1=O
2273,6350.0,NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl
2284,200.0,NCC(CC(=O)O)c1ccc(Cl)cc1
2286,15600.0,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
2292,562.0,CCCCNCC(O)c1ccc(O)cc1
2294,600.0,CCC1(CC)C(=O)NC(=O)NC1=O
2310,41.0,CCC1(C)CC(=O)NC(=O)C1
2313,1105.0,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
2314,45.0,CNC(=O)Oc1cccc2c1OC(C)(C)O2
