cid,rat_vi,smiles
119,5000.0,NCCCC(=O)O
174,3260.0,OCCO
178,12500.0,CC(N)=O
180,5500.0,CC(C)=O
243,1700.0,O=C(O)c1ccccc1
244,53.0,OCc1ccccc1
263,310.0,CCCCO
288,995.0,C[N+](C)(C)CC(O)CC(=O)[O-]
564,3300.0,NCCCCCC(=O)O
679,5360.0,CS(C)=O
700,225.0,NCCO
702,1440.0,CCO
712,87.0,C=O
750,2600.0,NCC(=O)O
753,5566.0,OCC(O)CO
768,0.81,C#N
774,630.0,NCCc1cnc[nH]1
785,115.0,Oc1ccc(O)cc1
838,0.07,CNCC(O)c1ccc(O)c(O)c1
864,180.0,O=C(O)CCCCC1CCSS1
887,2131.0,CO
892,750.0,OC1C(O)C(O)C(O)C(O)C1O
896,356.0,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
951,0.13,NCC(O)c1ccc(O)c(O)c1
991,3.8,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1030,6423.0,CC(O)CO
1031,590.0,CCCO
1048,1021.0,c1cn[nH]c1
1049,360.0,c1ccncc1
1053,610.0,Cc1ncc(COP(=O)(O)O)c(CN)c1O
1054,657.0,Cc1ncc(CO)c(CO)c1O
1103,65.0,NCCCNCCCCNCCCN
1123,7000.0,NCCS(=O)(=O)O
1140,1960.0,Cc1ccccc1
1176,5300.0,NC(N)=O
1233,42.0,NC(C(=O)O)c1cc(=O)[nH]o1
1322,176.0,CNNC
1493,72.0,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
1775,101.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
1892,486.0,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O
1979,45.0,CC(=O)OC1CN2CCC1CC2
1981,28.3,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
2031,27.0,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
2082,265.0,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
2083,57.1,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
2086,0.47,CNC(=O)ON=CC(C)(C)SC
2120,1220.0,O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O
2140,12300.0,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
2155,570.0,Nc1nccs1
2196,50.0,COc1ccc(C(=O)N2CCCC2=O)cc1
2236,74.0,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
2247,28.2,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
2249,77.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
2267,26.9,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
2268,7.5,COP(=S)(OC)SCn1nnc2ccccc2c1=O
2273,252.0,NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl
2284,78.0,NCC(CC(=O)O)c1ccc(Cl)cc1
2292,80.0,CCCCNCC(O)c1ccc(O)cc1
2310,16.0,CCC1(C)CC(=O)NC(=O)C1
2313,304.0,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
2343,422.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
2378,63.0,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
2448,10.0,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
2450,37.4,O=[N+]([O-])C(Br)(CO)CO
2451,20.0,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
2471,200.0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
2474,5.6000000000000005,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
2478,1.8,CS(=O)(=O)OCCCCOS(C)(=O)=O
2515,269.0,CCOC(=O)NNc1ccc(N(CC)CC(C)O)nn1
2519,105.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2520,7.25,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
2528,14300.0,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I
2569,3.62,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O
2576,450.0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
2578,13.8,O=NN(CCCl)C(=O)NCCCl
2580,37.0,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1
2585,25.0,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
2680,345.0,NCC1CCC(C(=O)Oc2ccc(CCC(=O)O)cc2)CC1
2712,165.0,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
2719,60.0,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2720,200.0,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
2724,236.0,NC(=O)OCC(O)COc1ccc(Cl)cc1
