cid,rat_vo,smiles
4,1715.0,CC(O)CN
6,640.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
11,670.0,ClCCCl
13,756.0,Clc1ccc(Cl)c(Cl)c1
33,89.0,O=CCCl
34,71.0,OCCCl
66,580.0,Oc1cc(Cl)ccc1Cl
79,1185.0,N#Cc1cccnc1
126,2250.0,O=Cc1ccc(O)cc1
129,5660.0,CC(C)CCC=O
135,10000.0,O=C(O)c1ccc(O)cc1
174,4700.0,OCCO
176,3310.0,CC(=O)O
177,661.0,CC=O
178,7000.0,CC(N)=O
179,5000.0,CC(=O)C(C)O
180,5800.0,CC(C)=O
190,227.0,Nc1ncnc2nc[nH]c12
196,11000.0,O=C(O)CCCCC(=O)O
220,450.0,CCOP(=S)(OCC)Oc1ccc(N)cc1
227,5410.0,Nc1ccccc1C(=O)O
234,48.0,O=[As](O)(O)O
240,1300.0,O=Cc1ccccc1
241,930.0,c1ccccc1
243,1700.0,O=C(O)c1ccccc1
244,1230.0,OCc1ccccc1
261,2490.0,CCCC=O
263,790.0,CCCCO
264,2000.0,CCCC(=O)O
284,1100.0,O=CO
289,260.0,Oc1ccccc1O
299,91.3,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
300,55.0,O=C(O)CCl
311,3000.0,O=C(O)CC(O)(CC(=O)O)C(=O)O
323,293.0,O=c1ccc2ccccc2o1
325,1020.0,CC(C)c1ccc(CO)cc1
326,1390.0,CC(C)c1ccc(C=O)cc1
335,121.0,Cc1ccccc1O
338,891.0,O=C(O)c1ccccc1O
341,2260.0,O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
342,242.0,Cc1cccc(O)c1
359,4000.0,Oc1cc(O)cc(O)c1
379,10080.0,CCCCCCCC(=O)O
385,7000.0,O=C(O)CCCCCC(=O)O
398,720.0,CC(C)[N+](=O)[O-]
403,375.0,Nc1ccc(O)cc1
428,350.0,NCCCN
460,520.0,COc1ccccc1O
527,1410.0,CCC=O
541,4700.0,O=Cc1ccc([N+](=O)[O-])cc1
612,3543.0,CC(O)C(=O)O
650,1580.0,CC(=O)C(C)=O
660,1460.0,O=C1CCc2ccccc2O1
673,650.0,CN(C)CC(=O)O
674,698.0,CNC
679,14500.0,CS(C)=O
700,1720.0,NCCO
702,7060.0,CCO
712,100.0,C=O
713,5577.0,NC=O
727,76.0,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
750,7930.0,NCC(=O)O
753,12600.0,OCC(O)CO
757,1950.0,O=C(O)CO
